algorithm,latency_ms,packet_loss_percent,run_number,handshake_time_ms,cpu_time_ms,memory_peak_mb,memory_delta_mb,bytes_transmitted,was_successful,error_msg
ECC-P256,0,0,1,76.6545990009035,0,25.28515625,1.234375,7630,1,None
ECC-P256,0,0,2,73.9432310001575,10,25.37890625,0.05078125,7630,1,None
ECC-P256,0,0,3,52.5936640005966,10,25.3828125,0.0390625,7630,1,None
ECC-P256,0,0,4,60.8148110004549,0,25.3828125,0.03515625,7630,1,None
ECC-P256,0,0,5,76.8431309988955,10,25.3828125,0.03515625,7598,1,None
ECC-P256,0,0,6,65.0785959987843,10,25.390625,0.03515625,7630,1,None
ECC-P256,0,0,7,47.6287729979958,0,25.39453125,0.03515625,7630,1,None
ECC-P256,0,0,8,77.071182000509,20,25.39453125,0.03515625,7598,1,None
ECC-P256,0,0,9,77.7207659994019,10,25.39453125,0.03515625,7630,1,None
ECC-P256,0,0,10,73.4085840012995,9.99999999999998,25.39453125,0.03515625,7662,1,None
ECC-P256,0,0,11,73.2957030013495,10,25.3984375,0.0390625,7662,1,None
ECC-P256,0,0,12,78.1076829989615,0,25.41015625,0.04296875,7662,1,None
ECC-P256,0,0,13,64.1423359993496,10,25.41015625,0.03515625,7598,1,None
ECC-P256,0,0,14,63.2544440013589,10,25.41015625,0.03515625,7630,1,None
ECC-P256,0,0,15,71.3553890018375,10,25.4140625,0.03515625,7662,1,None
ECC-P256,0,0,16,77.3317320017668,0,25.41796875,0.0390625,7662,1,None
ECC-P256,0,0,17,63.6938289972022,10,25.41796875,0.03515625,7630,1,None
ECC-P256,0,0,18,61.7904770006135,10,25.41796875,0.03515625,7662,1,None
ECC-P256,0,0,19,64.8100610014808,10,25.41796875,0.03515625,7662,1,None
ECC-P256,0,0,20,64.2814470011217,10,25.421875,0.03515625,7662,1,None
ECC-P256,0,0,21,60.3750359987316,0,25.42578125,0.0390625,7630,1,None
ECC-P256,0,0,22,59.8504789995786,0,25.4296875,0.0390625,7598,1,None
ECC-P256,0,0,23,63.0459929998324,0,25.4296875,0.03515625,7630,1,None
ECC-P256,0,0,24,74.9042030001874,10,25.4296875,0.03515625,7662,1,None
ECC-P256,0,0,25,63.5583170005702,0,25.43359375,0.03515625,7662,1,None
ECC-P256,0,0,26,70.4498390005028,0,25.43359375,0.03515625,7598,1,None
ECC-P256,0,0,27,61.2105330001214,10,25.44140625,0.0390625,7630,1,None
ECC-P256,0,0,28,63.9959449981689,10,25.4453125,0.0390625,7662,1,None
ECC-P256,0,0,29,64.0888849993644,10,25.4453125,0.03515625,7662,1,None
ECC-P256,0,0,30,60.8479599977727,0,25.4453125,0.03515625,7598,1,None
ECC-P256,0,0,31,75.8732989997952,10,25.4453125,0.03515625,7662,1,None
ECC-P256,0,0,32,63.8965840007586,0,25.45703125,0.04296875,7630,1,None
ECC-P256,0,0,33,61.1535469979572,0,25.4609375,0.03515625,7598,1,None
ECC-P256,0,0,34,63.1935179990251,10,25.4609375,0.03515625,7662,1,None
ECC-P256,0,0,35,65.9057010016113,0,25.46484375,0.03515625,7630,1,None
ECC-P256,0,0,36,65.183718001208,10,25.46484375,0.03515625,7630,1,None
ECC-P256,0,0,37,64.7276749987213,0,25.46875,0.03515625,7630,1,None
ECC-P256,0,0,38,61.9911229987338,0,25.46875,0.03515625,7630,1,None
ECC-P256,0,0,39,75.7104920012353,20,25.47265625,0.0390625,7630,1,None
ECC-P256,0,0,40,63.8327540000319,0,25.4765625,0.03515625,7598,1,None
ECC-P256,0,0,41,63.7206729988975,10,25.4765625,0.03515625,7630,1,None
ECC-P256,0,0,42,63.5256839996146,10,25.484375,0.0390625,7630,1,None
ECC-P256,0,0,43,79.6820459981973,10,25.484375,0.03515625,7630,1,None
ECC-P256,0,0,44,63.2896600000095,0,25.48828125,0.03515625,7630,1,None
ECC-P256,0,0,45,64.4351779992576,10,25.4921875,0.03515625,7630,1,None
ECC-P256,0,0,46,73.1904940003005,9.99999999999998,25.4921875,0.03515625,7598,1,None
ECC-P256,0,0,47,64.4532420010364,0,25.4921875,0.03515625,7662,1,None
ECC-P256,0,0,48,61.2227730016457,0,25.4921875,0.03515625,7630,1,None
ECC-P256,0,0,49,62.0026069991582,10,25.4921875,0.03515625,7630,1,None
ECC-P256,0,0,50,77.880181997898,10,25.4921875,0.03515625,7630,1,None
RSA-2048,0,0,1,63.9204069993866,0,25.4921875,0.03515625,6996,1,None
RSA-2048,0,0,2,60.2703069998825,0,25.4921875,0.03515625,6996,1,None
RSA-2048,0,0,3,60.5727119982475,9.9999999999999,25.4921875,0.03515625,6996,1,None
RSA-2048,0,0,4,60.8881619991735,0,25.4921875,0.03515625,6964,1,None
RSA-2048,0,0,5,63.9724749999004,10,25.49609375,0.03515625,6964,1,None
RSA-2048,0,0,6,65.4072239995003,10,25.49609375,0.03515625,6996,1,None
RSA-2048,0,0,7,72.257942003489,10,25.5,0.0390625,6996,1,None
RSA-2048,0,0,8,64.8037110004225,0,25.5,0.03515625,6996,1,None
RSA-2048,0,0,9,63.3919450010581,0,25.5,0.03515625,7028,1,None
RSA-2048,0,0,10,63.5724220010161,0,25.5,0.03515625,6964,1,None
RSA-2048,0,0,11,64.2708350023895,0,25.5,0.03515625,6996,1,None
RSA-2048,0,0,12,65.7305709974025,0,25.5,0.03515625,6964,1,None
RSA-2048,0,0,13,67.6235780010757,0,25.5,0.03515625,7028,1,None
RSA-2048,0,0,14,61.1473019998812,0,25.5,0.03515625,6996,1,None
RSA-2048,0,0,15,76.811204002297,0,25.50390625,0.03515625,7028,1,None
RSA-2048,0,0,16,63.8381149983616,20,25.5078125,0.0390625,6964,1,None
RSA-2048,0,0,17,64.4226200020057,0,25.5078125,0.03515625,6964,1,None
RSA-2048,0,0,18,59.6398810012033,0,25.51171875,0.03515625,6964,1,None
RSA-2048,0,0,19,59.6735250001075,0,25.51171875,0.03515625,6964,1,None
RSA-2048,0,0,20,79.1670770013297,10,25.51171875,0.03515625,6996,1,None
RSA-2048,0,0,21,63.5584569972707,0,25.51171875,0.03515625,7028,1,None
RSA-2048,0,0,22,62.9768440012413,0,25.51171875,0.03515625,7028,1,None
RSA-2048,0,0,23,77.4132419974194,20,25.51171875,0.03515625,7028,1,None
RSA-2048,0,0,24,80.5970939982217,20,25.51171875,0.03515625,6996,1,None
RSA-2048,0,0,25,64.3983379995916,0,25.515625,0.03515625,6996,1,None
RSA-2048,0,0,26,61.5424829993572,20,25.515625,0.03515625,6964,1,None
RSA-2048,0,0,27,60.9972349993768,0,25.515625,0.03515625,6996,1,None
RSA-2048,0,0,28,63.1023930000083,10,25.5234375,0.03515625,7028,1,None
RSA-2048,0,0,29,63.8576649980678,10,25.5234375,0.03515625,6964,1,None
RSA-2048,0,0,30,63.9188770001056,0,25.5234375,0.03515625,6996,1,None
RSA-2048,0,0,31,76.6177430014068,9.99999999999979,25.5234375,0.03515625,6996,1,None
RSA-2048,0,0,32,61.3381850016594,0,25.5234375,0.03515625,6996,1,None
RSA-2048,0,0,33,61.0603149980307,10,25.5234375,0.03515625,7028,1,None
RSA-2048,0,0,34,64.1020419971028,0,25.5234375,0.03515625,6964,1,None
RSA-2048,0,0,35,73.7052490003407,0,25.5234375,0.03515625,6964,1,None
RSA-2048,0,0,36,64.3062600029225,0,25.52734375,0.03515625,6964,1,None
RSA-2048,0,0,37,64.0789399985806,10,25.52734375,0.03515625,6996,1,None
RSA-2048,0,0,38,61.4246240002103,10,25.52734375,0.03515625,6964,1,None
RSA-2048,0,0,39,64.1240770019067,0,25.52734375,0.03515625,6964,1,None
RSA-2048,0,0,40,64.1981560002023,10,25.52734375,0.03515625,7028,1,None
RSA-2048,0,0,41,74.5705240005918,10,25.52734375,0.03515625,6964,1,None
RSA-2048,0,0,42,74.1293320024852,10,25.52734375,0.03515625,6996,1,None
RSA-2048,0,0,43,64.4392680005694,10,25.53515625,0.03515625,6996,1,None
RSA-2048,0,0,44,63.4157610002148,0,25.53515625,0.03515625,6996,1,None
RSA-2048,0,0,45,64.4860339998559,10,25.5390625,0.03515625,7028,1,None
RSA-2048,0,0,46,63.7172349997854,0,25.5390625,0.03515625,7028,1,None
RSA-2048,0,0,47,65.2668749971781,0,25.5390625,0.03515625,6964,1,None
RSA-2048,0,0,48,64.2246190000151,9.99999999999979,25.5390625,0.03515625,6964,1,None
RSA-2048,0,0,49,63.1796449997637,0,25.5390625,0.03515625,7028,1,None
RSA-2048,0,0,50,63.2175959981396,0,25.5390625,0.03515625,6964,1,None
CRYSTALS-Kyber,0,0,1,63.159610999719,0,25.5390625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,2,69.1388180021022,20,25.5390625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,3,63.5696099998313,0,25.5390625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,4,86.5405609984009,0,25.5390625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,5,63.8197050029703,0,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,6,64.5435709993762,10,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,7,63.7292620012886,0,25.54296875,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,8,64.0478960012842,10,25.54296875,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,9,63.7736150019919,10,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,10,63.903850998031,0,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,11,49.187858003279,0,25.54296875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,12,77.5911759992596,0,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,13,61.1022299999604,20,25.54296875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,14,63.3464819984511,0,25.54296875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,15,65.0588179996703,0,25.546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,16,76.0228050021397,10,25.546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,17,74.0579189987329,0,25.546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,18,67.4146310011565,9.99999999999995,25.546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,19,61.1953810002888,10,25.55078125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,20,73.781846997008,10,25.55078125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,21,74.0346650018182,10,25.5546875,0.0390625,7544,1,None
CRYSTALS-Kyber,0,0,22,61.1630999992485,10,25.5546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,23,80.705445001513,10,25.5546875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,24,67.948484000226,0,25.5546875,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,25,61.0501740011387,0,25.5546875,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,26,69.0563169991947,19.9999999999998,25.55859375,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,27,64.9308169995493,0,25.55859375,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,28,67.8704620004282,0,25.5625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,29,66.9192690002092,10,25.56640625,0.0390625,7480,1,None
CRYSTALS-Kyber,0,0,30,67.9493010029546,0,25.56640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,31,67.4671220003802,9.99999999999979,25.56640625,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,32,67.8283759989427,10,25.56640625,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,33,80.3432619977684,10.0000000000002,25.56640625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,34,67.8994029985915,0,25.56640625,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,35,66.3956580028753,10,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,36,68.131561998598,0,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,37,62.727888001973,0,25.5703125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,38,65.6665850001446,10,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,39,68.0016030019033,9.99999999999979,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,40,80.8353989996249,0,25.5703125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,41,63.9271549989644,20.0000000000002,25.5703125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,42,65.2399249993323,0,25.57421875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,43,66.0430200005067,0,25.57421875,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,44,69.6059359979699,10,25.578125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,45,81.0684910029522,10.0000000000002,25.58203125,0.03515625,7480,1,None
CRYSTALS-Kyber,0,0,46,65.4604590017698,9.99999999999979,25.58203125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,47,66.9847179997305,0,25.58203125,0.03515625,7544,1,None
CRYSTALS-Kyber,0,0,48,62.1718739967037,0,25.58203125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,49,65.8562520002306,0,25.58203125,0.03515625,7512,1,None
CRYSTALS-Kyber,0,0,50,65.4794970032526,0,25.58203125,0.03515625,7480,1,None
ECC-P256,0,2,1,1094.97441499843,0,25.58203125,0.03515625,7598,1,None
ECC-P256,0,2,2,74.8112549990765,0,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,3,66.378106999764,10,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,4,81.1372649986879,0,25.58203125,0.03515625,7630,1,None
ECC-P256,0,2,5,60.9299789975921,10,25.5859375,0.03515625,7662,1,None
ECC-P256,0,2,6,62.2869760009053,0,25.5859375,0.03515625,7662,1,None
